,price_usd_close
price_drawdown_relative,0
block_count,0
block_interval_mean,0
block_interval_median,0
block_size_mean,0
block_size_sum,1
utxo_created_count,0
utxo_spent_count,0
utxo_created_value_sum,0
utxo_spent_value_sum,0
utxo_created_value_mean,0
utxo_spent_value_mean,0
utxo_created_value_median,0
utxo_spent_value_median,0
address_count,1
sending_count,0
receiving_count,0
active_count,0
new_non_zero_count,0
volume_sum,0
volume_mean,0
volume_median,0
difficulty_latest,1
hash_rate_mean,1
active_more_1y_percent,0
count,0
rate,0
size_mean,0
transfers_volume_sum,0
transfers_volume_mean,0
transfers_volume_median,0
CL=F,0
CPI,0
DXYN,0
GC=F,0
SI=F,0
^DJI,0
^IXIC,0
^RUT,0
^TNX,0
EURUSD=X,0
GBPUSD=X,0
^FTSE,0
N225,0
ADA-USD,1
AVAX-USD,1
BNB-USD,1
BTC-USD,1
DOGE-USD,1
DOT-USD,1
ETH-USD,1
LTC-USD,1
MATIC-USD,1
SHIB-USD,1
SOL-USD,1
TRX-USD,1
USDC-USD,1
USDT-USD,1
XRP-USD,1
